,quality_score,Owner,Country of Origin,Farm Name,Mill,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner.1,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Moisture,Category One Defects,Color,Category Two Defects,Expiration
15,87.58,CQI Q Coffee Sample Representative,United States,El Águila,,Coffee Quality Institute,Meters above sea level: 2.080,Antioquía-Caicedo,María Leticia Diosa,10,1 kg,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Completed,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,0.0,0,,0,"March 12th, 2016"
16,87.42,Grounds for Health Admin,Indonesia,Toarco Jaya,,,1200-1800m,Sulawesi,P.T. Toarco Jaya,1,"2 kg,lbs",Specialty Coffee Association,May-August,"May 31st, 2010",Grounds for Health Admin,,Completed,,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,0.03,0,,0,"May 31st, 2011"
17,87.33,Ethiopia Commodity Exchange,Ethiopia,,,,,Yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,150,6,Ethiopia Commodity Exchange,2009/2010,"June 16th, 2010",Ethiopia Commodity Exchange,,Completed,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,0.05,0,,2,"June 16th, 2011"
18,87.25,Yunnan Coffee Exchange,China,Echo Coffee,Echo Coffee Mill,Yunnan Coffee Exchange,1450,Yunnan Province XiShuangBanNa City Menghai County,Echo Coffee,3,60 kg,Yunnan Coffee Exchange,2015,"April 7th, 2016",Yunnan Coffee Exchange,Catimor,Completed,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,0.1,0,Green,0,"April 7th, 2017"
19,87.25,EssenceCoffee,Ethiopia,Drima Zede,Drima Zede,Essence Coffee,1700-2000m,Gedio,LevelUp,250,60 kg,Blossom Valley International,2014,"March 25th, 2015",EssenceCoffee,Ethiopian Yirgacheffe,Completed,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,0.0,0,,8,"March 24th, 2016"
20,87.25,CQI Q Coffee Sample Representative,United States,El Rodeo,,Coffee Quality Institute,Meters above sea level: 2.019,Antioquía-Betulia,Nicolás Rueda Urrego,10,1 kg,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Completed,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,0.0,0,None,0,"March 12th, 2016"
21,87.17,The Coffee Source Inc.,Costa Rica,SEVERAL,CAFE DE ALTURA SAN RAMON,The Coffee Source Inc.,1300 MSNM,SAN RAMON,SEVERAL,250,3 lbs,Specialty Coffee Association,2014,"April 2nd, 2014",The Coffee Source Inc.,Caturra,Completed,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,0.11,0,Green,2,"April 2nd, 2015"
22,87.17,ROBERTO LICONA FRANCO,Mexico,LA HERRADURA,LA HERRADURA,,1320,XALAPA,ROBERTO LICONA FRANCO,14,1 kg,AMECAFE,2012,"July 26th, 2012",ROBERTO LICONA FRANCO,Other,Completed,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,0.13,0,Green,0,"July 26th, 2013"
23,87.08,CQI Q Coffee Sample Representative,United States,La curva,,Coffee Quality Institute,Meters above sea level: 2.112,Antioquía-Giraldo,Silvia Elena Higuita,10,1 kg,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Completed,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,0.0,0,,0,"March 12th, 2016"
24,87.08,Ji-Ae Ahn,Ethiopia,,,,,Sidamo,,100,60 kg,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",Ji-Ae Ahn,,Completed,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,0.11,0,Bluish-Green,1,"September 3rd, 2014"
25,86.92,NUCOFFEE,Brazil,Fazenda Kaquend,,NUCOFFEE,1250m,South of Minas,Ralph Junqueira,3,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Completed,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,0.12,0,Green,2,"December 2nd, 2012"
26,86.92,Ethiopia Commodity Exchange,Ethiopia,,,,,Sidamo,Green Gold Ethiopia | Phone: 0114342032,150,6,Ethiopia Commodity Exchange,2009/2010,"June 16th, 2010",Ethiopia Commodity Exchange,,Completed,,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,0.05,0,,2,"June 16th, 2011"
27,86.83,Kabum Trading company,Uganda,Chebonet (23) women coffee,Kabum trading company,Kabum Trading company,1950,Kapchorwa Eastern,Kabum trading company,100,60 kg,Uganda Coffee Development Authority,2013,"June 26th, 2014",Kabum Trading company,SL14,Completed,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,0.12,0,Green,1,"June 26th, 2015"
28,86.67,Bismarck Castro,Honduras,Los Hicaques,CIGRAH S.A. DE C.V.,CIGRAH S.A DE C.V,1400,Comayagua,Reinerio Zepeda,275,69 kg,Instituto Hondureño del Café,2016,"May 18th, 2017",Bismarck Castro,Caturra,Completed,,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,0.1,0,Green,3,"May 18th, 2018"
29,86.58,"Lin, Che-Hao Krude 林哲豪",Taiwan,Tsoustructive Garden 鄒築園,Tsoustructive Garden 鄒築園,Taiwan Coffee Laboratory,1200,"Leye, Alishan Township, Chiayi County","FANG,ZHENG-LUN 方政倫",20,50 kg,Specialty Coffee Association,2015,"May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Sumatra,Completed,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,0.0,0,Green,0,"May 18th, 2017"
30,86.58,Nora Zeas,Nicaragua,,Beneficio Atlantic Condega,,,,,275,6,Specialty Coffee Association,,"May 18th, 2010",Nora Zeas,,Completed,,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,0.08,0,,2,"May 18th, 2011"
31,86.5,Specialty Coffee-Korea,Tanzania,,,,,,,100,60 kg,Specialty Coffee Institute of Asia,2012,"September 3rd, 2013",Specialty Coffee-Korea,,Completed,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,0.11,0,Bluish-Green,1,"September 3rd, 2014"
32,86.42,NUCOFFEE,Brazil,Fazenda Recreio,,NUCOFFEE,1300,Vale da Grama,Homero Texeira de Macedo Junior,29,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Completed,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,0.12,0,Green,2,"December 2nd, 2012"
33,86.33,Francisco A Mena,Costa Rica,Exclusive Coffees S.A.,"Exclusive Coffees S.A,",Exclusive Coffees S.A.,1300,West and Central Valley,Exclusive Coffees S.A.,250,2 lbs,Specialty Coffee Association of Costa Rica,2015/2016,"December 3rd, 2015",Francisco A Mena,Caturra,Completed,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,0.0,0,Blue-Green,0,"December 2nd, 2016"
34,86.25,Hider Abamecha,Ethiopia,Haider Abamecha Coffee Plantation,Faysal Abamecha Processing Plant at yebu Town,Haider Abamecha Coffee Export,1750-1800,Oromia,Haider Abamecha Abadiko,320,60 kg,METAD Agricultural Development plc,2014,"March 27th, 2015",Hider Abamecha,,Completed,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,0.1,0,Green,3,"March 26th, 2016"
35,86.25,Daniel Magu,Kenya,Kangunu,central kenya coffee mills,C dorman Ltd,1800,Muranga,Kangunu,320,1 kg,Kenya Coffee Traders Association,2013,"May 30th, 2014",Daniel Magu,SL34,Completed,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,0.12,0,Blue-Green,1,"May 30th, 2015"
36,86.25,Kona Pacific Farmers Cooperative,United States (Hawaii),,,Kona Pacific Farmers Cooperative,,Kona,,10,100 lbs,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,0.0,1,,4,"April 6th, 2013"
37,86.25,Kona Pacific Farmers Cooperative,United States (Hawaii),Kona Pacific Farmers Co-Op,,,,Kona,Kona Pacific Farmers Co-Op,25,100 lbs,Specialty Coffee Association,2010,"January 28th, 2011",Kona Pacific Farmers Cooperative,,Completed,,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,0.0,2,,1,"January 28th, 2012"
38,86.25,Ethiopia Commodity Exchange,Ethiopia,"Phone number | 0911-51-08-01, Email | at",,,,Yirgacheffe,Contact name | ATO Teshome Belamo,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,Completed,,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,0.1,0,,2,"June 17th, 2011"
39,86.17,CQI Q Coffee Sample Representative,United States,La Primavera,,Coffee Quality Institute,Meters above sea level: 1.941,Antioquía-Urrao,Hugo Sepúlveda Montoya,10,1 kg,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Completed,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,0.0,0,,0,"March 12th, 2016"
40,86.17,ITDP International,Thailand,Co-op #12,,Lanna Cafe,1300,Chiang Rai,ITDP,53,1 kg,Specialty Coffee Association,2012,"April 12th, 2012",ITDP International,Caturra,Completed,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,0.1,1,Green,9,"April 12th, 2013"
41,86.17,Jacques Pereira Carneiro,Brazil,Pereira Estate Coffee,Cocarive,,1.2,Sul de Minas - Carmo de Minas,Maria Rogeria Costa Pereira,300,60 kg,Specialty Coffee Association,2010,"January 4th, 2011",Jacques Pereira Carneiro,Yellow Bourbon,Completed,,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,0.08,0,,2,"January 4th, 2012"
42,86.17,Jacques Pereira Carneiro,Brazil,Pereira Estate Coffee,Cocarive,,1.2,Sul de Minas - Carmo de Minas,Maria Rogeria Costa Pereira,300,60 kg,Specialty Coffee Association,2010,"January 4th, 2011",Jacques Pereira Carneiro,Yellow Bourbon,Completed,,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,0.01,0,,3,"January 4th, 2012"
43,86.08,"Lin, Che-Hao Krude 林哲豪",Taiwan,Sunshine Valley Estate 向陽高山咖啡,Sunshine Valley Estate 向陽高山咖啡,Taiwan Coffee Laboratory,1000 M,"Guoxing Township, Nantou County 南投縣國姓鄉",LIN YEN CHIEN 林言謙,10,15 kg,Specialty Coffee Association,2015,"June 10th, 2015","Lin, Che-Hao Krude 林哲豪",Bourbon,Completed,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,0.12,0,Green,0,"June 9th, 2016"
44,86.08,Jungle Estate,Kenya,JUNGLE ESTATE,NKG COFFEE MILLS,Keremara Limited,1754,NYERI,JUNGLE ESTATE,12,60 kg,Kenya Coffee Traders Association,2014,"January 29th, 2015",Jungle Estate,SL28,Completed,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,0.11,0,Bluish-Green,2,"January 29th, 2016"
45,86.08,NUCOFFEE,Brazil,Fazenda Kaquend,,NUCOFFEE,1250m,South of Minas Gerais,Ralph Junqueira,7,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Completed,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,0.11,0,Blue-Green,2,"December 2nd, 2012"
46,86.0,Great Lakes Coffee Uganda,Uganda,Kaasayi,Great Lakes,UCDA,,Eastern Uganda,Kaasay Farmer Group,1,60 kg,Uganda Coffee Development Authority,2014,"October 1st, 2014",Great Lakes Coffee Uganda,,Completed,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,0.0,0,,0,"October 1st, 2015"
47,86.0,LUSSO LAB,Colombia,Ecobio Colombia,,LUSSO COFFEE LAB,"900-1,500m",Tolima,,1,2 kg,Specialty Coffee Association,2013,"March 20th, 2014",LUSSO LAB,Caturra,Completed,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,0.12,1,Green,1,"March 20th, 2015"
48,86.0,LUSSO LAB,Kenya,KIANJAVI,,LUSSO COFFEE LAB,1520m-2200m,Kiambu,,1,1 kg,Specialty Coffee Association,2013,"February 6th, 2014",LUSSO LAB,SL28,Completed,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,0.11,0,Green,1,"February 6th, 2015"
49,86.0,AFCA,Uganda,,,Kawacom Ltd,1400-1900M,"Sipi, Mt Elgon",Kawacom,1,60 kg,Africa Fine Coffee Association,2012,"February 13th, 2012",AFCA,Other,Completed,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,0.1,0,Blue-Green,0,"February 12th, 2013"
50,86.0,Ethiopia Commodity Exchange,Ethiopia,Contact | sidacoop@ethionet.net,Coffee Processing and Warehouse Enterpri,,1500-2000 m,Sidamo,Sidama Coffee Farmers Coop. Union,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,Completed,,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,0.01,0,,4,"June 17th, 2011"
51,86.0,Grounds for Health Admin,United States (Hawaii),Hula Daddy Kona Coffee,,,1400ft,Kona,Hula Daddy Kona Coffee,1,2,Specialty Coffee Association,Fall 2009,"May 31st, 2010",Grounds for Health Admin,,Completed,,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,0.0,0,,0,"May 31st, 2011"
52,85.92,Juan Luis Alvarado Romero,Guatemala,LA ESPERANZA Y ANEXOS,BENEFICIO IXCHEL,"UNEX GUATEMALA, S.A.",,NUEVO ORIENTE,MARGARITA AVILA DE NUYENS,80,69 kg,Asociacion Nacional Del Café,2016,"May 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,0.1,0,Green,3,"May 16th, 2017"
53,85.92,Kawacom Uganda LTD,Uganda,Sipi organic coffee project,Kawacom (U) Ltd,Kawacom uganda LTD,1400-1900,Eastern,Kawacom (U)Ltd,1,60 kg,Uganda Coffee Development Authority,2013,"June 30th, 2014",Kawacom Uganda LTD,SL14,Completed,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,0.12,0,Green,0,"June 30th, 2015"
54,85.92,Exportadora de Cafe Condor S.A,Colombia,,trilladora Bonanza,Exportadora de Cafe Condor S.A,1800 msnm,Huila,,275,70 kg,Almacafé,2013,"July 26th, 2013",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,0.0,1,Blue-Green,0,"July 26th, 2014"
55,85.83,Gonzalo Hernandez,Panama,La Berlina Estate,Beneficio Casa Ruiz S.A.,CE Specialty S.A.,1600,Boquete,Plinio Ruiz,37,60 kg,Specialty Coffee Association of Costa Rica,2017,"October 9th, 2017",Gonzalo Hernandez,Gesha,Completed,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,0.08,0,Bluish-Green,0,"October 9th, 2018"
56,85.83,Ibrahim Hussien Speciality Coffee Producer &Export,Ethiopia,,Burka Gudina,Ibrahim Hussien Specality Coffee Product & Exporter,1800-2000,Oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,320,60 kg,METAD Agricultural Development plc,2014,"April 4th, 2015",Ibrahim Hussien Speciality Coffee Producer &Export,,Completed,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,0.1,0,Green,4,"April 3rd, 2016"
57,85.83,Juan Luis Alvarado Romero,Guatemala,VALPARAISO,BENEFICIO VALPARAISO,SERTRASA,5000,"ACATENANGO, CHIMALTENANGO",SERTRASA,150,1 kg,Asociacion Nacional Del Café,2012,"July 3rd, 2012",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,0.12,0,Green,3,"July 3rd, 2013"
58,85.83,Juan Luis Alvarado Romero,Guatemala,FINCA EL LIMON,BENEFICIO SERBEN KM 21.5 CARRETERA A VILLA CANALES,"UNICAFE, S.A",4650,NUEVO ORIENTE ALDEA EL LIMON,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1 kg,Asociacion Nacional Del Café,2012,"June 5th, 2012",Juan Luis Alvarado Romero,Catuai,Completed,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,0.1,0,Bluish-Green,1,"June 5th, 2013"
59,85.75,SEID DAMTEW COFFEE PLANATAION,Ethiopia,seid damtew coffee export and plantation,seid damtew coffee export and plantation,Seid Damtew Coffee Planation,,addis ababa,seid damtew coffee export and plantation,320,19200 kg,METAD Agricultural Development plc,2017,"June 23rd, 2017",SEID DAMTEW COFFEE PLANATAION,Caturra,Completed,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,0.09,0,None,7,"June 23rd, 2018"
60,85.75,Dane Loraas,Peru,,,Sustainable Harvest,,Cajamarca,,280,5 lbs,Specialty Coffee Association,2013,"January 22nd, 2014",Dane Loraas,,Completed,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,0.1,4,Green,6,"January 22nd, 2015"
61,85.75,"Colbran Coffeelands, Ltd.",Papua New Guinea,Tairora Cherry – Bonta,Baroida,CQI,"1,700 mts",Eastern Highlands Province,"Colbran CoffeeLands, Ltd.",7,60 kg,Specialty Coffee Association,2012,"October 25th, 2012","Colbran Coffeelands, Ltd.",,Completed,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,0.12,0,Bluish-Green,1,"October 25th, 2013"
62,85.58,Atlantic Specialty Coffee,El Salvador,El Majahual,J. Hill y Cia,Atlantic Specialty Coffee,1500 meters,Apaneca Llamantepec,Aida Batlle,275,2 kg,Specialty Coffee Association,2013,"March 18th, 2013",Atlantic Specialty Coffee,Bourbon,Completed,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,0.1,0,Blue-Green,3,"March 18th, 2014"
63,85.58,LUSSO LAB,El Salvador,Finca La Esmeralda,"Aqua caliente, J.J. Borja Nathan. S.A",LUSSO COFFEE LAB,1300~1400 m.s.l,"Ataco, Apaneca - Ilamatepec mountain range",Oscar Roberto Murgas Linares,19,1 kg,Specialty Coffee Association,2012,"January 12th, 2013",LUSSO LAB,Bourbon,Completed,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,0.11,0,None,0,"January 12th, 2014"
64,85.58,Kona Pacific Farmers Cooperative,United States (Hawaii),,,Kona Pacific Farmers Cooperative,,Kona,,8,100 lbs,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,0.0,0,,1,"April 6th, 2013"
65,85.5,EssenceCoffee,Panama,Elida Estate,Elida Estate,Essence Coffee,1680,Boquete,Lamastus,100,60 kg,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,Caturra,Completed,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,0.09,2,,2,"May 22nd, 2016"
66,85.5,EssenceCoffee,Kenya,Inoi,Inoi,Essence Coffee,1900M,Kirinyaga,,16,60 kg,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,SL28,Completed,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,0.1,0,Green,3,"May 22nd, 2016"
67,85.5,Assefa Belay Coffee Producer,Ethiopia,,,Assefa Belay Coffee Producer,1800-2000,Oromia,Assefa Belay Coffee Producer,320,60 kg,METAD Agricultural Development plc,2015,"March 31st, 2015",Assefa Belay Coffee Producer,Other,Completed,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,0.12,0,Green,7,"March 30th, 2016"
